FIBER, PETAL,  ORIGINALLY_ASSIGNED_TARGETBIT,  ORIGINALLY_ASSIGNED_TARGET_RA, ORIGINALLY_ASSIGNED_TARGET_DEC, OROGINALLY_ASSINED_FIBER_X, ORIGINALLY_ASSIGNED_FIBER_Y, ASSIGNED_TARGETBIT_IN_DITHERED_TILE, ASSIGNED_TARGET_RA, ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X, ASSIGNED_FIBER_Y, DELTA_RA_DITHERED_ORIGINAL_degrees, DELTA_DEC_DITHERED_ORIGINAL_degrees, FIBER_DELTA_X_DITHERED_ORIGINAL_mm, FIBER_DELTA_Y_DITHERED_ORIGINAL_mm
37,0,33,355.9494542493863,30.2150287349103,65.244644,-249.72676,33,355.9489871065063,30.215362988989323,65.34384,-249.6418,-0.00040367817015324905,0.00033425407902143434,0.09919739,0.08496094
38,0,4294967296,355.9062331348726,30.1055384400374,74.89306,-277.98666,4294967296,355.9062331348726,30.1055384400374,74.89306,-277.98666,0.0,0.0,0.0,0.0
39,0,545,356.07196910519707,30.100187521613226,39.214424,-279.1523,545,356.0724198940363,30.100506351719474,39.11687,-279.06934,0.00038999986469564606,0.0003188301062486687,-0.09755325,0.082977295
40,0,545,356.29169332639134,30.196241069206653,-7.964695,-254.33954,545,356.291650650129,30.196718927243296,-7.955398,-254.2171,-3.6885426472865686e-05,0.00047785803664268656,0.009296894,0.12243652
41,0,32,356.21750150846555,30.142118459460722,7.921203,-268.24423,141733920768,356.22888555710193,30.14268948788537,5.480439,-268.09543,0.009844726306272367,0.00057102842464829,-2.440764,0.14880371
42,0,545,356.3424918552763,30.241337908327115,-18.79241,-242.8253,545,356.3427265551743,30.241468817427396,-18.84241,-242.792,0.00020275997774446365,0.00013090910028168423,-0.049999237,0.033294678
43,0,33,356.2426303694206,30.27067953645482,2.5194862,-235.33716,33,356.2424356903636,30.27079720183145,2.5609717,-235.30725,-0.00016813527307438743,0.00011766537662794008,0.041485548,0.029907227
44,0,32,356.0571560892576,30.174871958280114,42.25279,-259.90524,32,356.0570425146417,30.17448802197037,42.277874,-260.00397,-9.818472469777388e-05,-0.00038393630974553616,0.02508545,-0.098724365
45,0,545,356.2528199831071,30.221371550099487,0.34819418,-247.90656,545,356.2518881869542,30.220240072589846,0.54726595,-248.19572,-0.0008051530480450753,-0.0011314775096415985,0.19907176,-0.2891693
46,0,545,355.9047208044147,30.167832317860764,75.000206,-261.90543,545,355.90400476313437,30.1677648214921,75.154465,-261.92395,-0.0006190585564773678,-6.749636866487663e-05,0.15425873,-0.01852417
47,0,33,356.12486199811525,30.190715571811378,27.725286,-255.78964,33,356.12532756161124,30.190922122799332,27.625383,-255.73642,0.00040241274169182937,0.0002065509879543015,-0.09990311,0.053222656
48,0,545,356.2939255268255,30.31133082806081,-8.400609,-225.02118,545,356.29249880960947,30.311065186007124,-8.097073,-225.08829,-0.0012316789207579633,-0.0002656420536872872,0.30353642,-0.067108154
49,0,545,356.0487331797703,30.137886984971352,44.13375,-269.4325,545,356.04935895403054,30.13793650161108,43.999256,-269.41913,0.0005411818492841706,4.951663972718734e-05,-0.13449478,0.013366699
50,0,545,356.25797860851094,30.10600226239013,-0.7577592,-277.56424,545,356.25864128020845,30.105707670305012,-0.90007895,-277.64044,0.0005732765419590184,-0.00029459208511894985,-0.14231974,-0.07620239
51,0,545,356.0908635724282,30.065076087060937,35.21129,-288.2444,545,356.0922361384056,30.064060631778037,34.9174,-288.50717,0.001187896763555599,-0.0010154552829000352,-0.2938881,-0.26278687
52,0,33,356.2131001452048,30.12200082652664,8.873204,-273.43393,33,356.21419100960367,30.122929248754986,8.638728,-273.194,0.0009435527431399179,0.0009284222283447718,-0.23447609,0.2399292
53,0,32,356.0150122666935,29.902547883726857,51.99459,-330.9971,32,356.0146946306324,29.902144515091038,52.06481,-331.10455,-0.0002753506273138644,-0.0004033686358191346,0.07022095,-0.10745239
54,0,545,356.3546621045066,30.09767546675506,-21.531563,-279.74426,545,356.35466737514975,30.096980043176163,-21.533417,-279.92432,4.560011651294109e-06,-0.0006954235788967367,-0.0018539429,-0.18005371
